product_id,product_name,grna_map,description,source_filename,source_doi
695,D9-tetrahydrocannabinolic acid (THCA),N/A,"THCA is the precursor of the psychoactive cannabinoid THC, produced via bioconversion of cannabigerolic acid (CBGA) by engineered Pichia pastoris expressing THCA synthase from Cannabis sativa.",10.1007_s10529-015-1853-x.pdf,10.1007/s10529-015-1853-x
696,second generation bioethanol,N/A,"Produced through co-culture fermentation of Scheffersomyces stipitis and Saccharomyces cerevisiae, optimized for glucose and xylose conversion.",10.3390_bioengineering7020061.pdf,10.3390/bioengineering7020061
699,L-tyrosine,N/A,Amino acid overproduced through metabolic engineering of S. cerevisiae.,10.1007_s10529-017-2322-5.pdf,10.1007/s10529-017-2322-5
701,glucaric acid,N/A,"High value-added organic acid produced by engineered Saccharomyces cerevisiae. The strain co-expresses mouse myo-inositol oxygenase (MIOX) and Pseudomonas putida uronate dehydrogenase (Udh), with overexpressed inositol-1-phosphate synthase (INO1) and deleted phosphofructokinase (PFK1), achieving a titer of 230.22 mg/L. Used in food, pharmaceutical, and chemical industries for cholesterol reduction, cancer treatment, and polymer synthesis.",10.1186_s12934-018-0914-y.pdf,https://doi.org/10.1186/s12934-018-0914-y
704,1-hexadecanol,N/A,"Fatty alcohol produced from xylose using engineered Saccharomyces cerevisiae, with applications in detergents, emulsifiers, lubricants, cosmetics, and biofuels.",10.1186_s12934-016-0423-9.pdf,10.1186/s12934-016-0423-9
709,odd-chain fatty alcohols (C11-C13),N/A,"Odd-chain fatty alcohols are produced by E. coli through a novel pathway involving α-dioxygenase, yielding C11-C13 alcohols for specialized applications.",Genetic-Biosensor-Design-for-Natural-Product-Biosy.pdf,10.1016/j.tibtech.2020.03.013
715,"ergosta-5,7-dien-3β-ol",N/A,"Precursor of vitamin D4, produced by engineered Saccharomyces cerevisiae through metabolic engineering of the ergosterol pathway, specifically by disrupting the erg5 gene.",10.1007_s11274-018-2440-9.pdf,10.1007/s11274-018-2440-9
721,Phenylethyl acetate,N/A,"Highest ester concentration detected (68.7 mg L−1), predominantly produced in tequila vinasse by non-Saccharomyces yeast strains like Candida parapsilosis CCMA 0544.",10.1007_s11274-018-2535-3.pdf,10.1007/s11274-018-2535-3
726,Butanol,N/A,Primary ABE solvent produced by Clostridium acetobutylicum; production reduced in engineered Cac-NOX strain due to NADH oxidation.,10.1007_s12010-015-1790-0.pdf,10.1007/s12010-015-1790-0
729,Methanol,N/A,"Byproduct formed during molasses fermentation by Saccharomyces cerevisiae. Yield minimized to 3.34 g per 100 L fermentation broth under optimized conditions (29°Brix, pH 4.5, 30% inoculum).",10.1021_jf021015e.pdf,10.1021/jf021015e
740,Xylose,N/A,"A pentose sugar released during the hydrolysis of hemicellulose in lignocellulosic biomass, part of the fermentable sugars.",10.1016_j.biortech.2020.123275.pdf,10.1016/j.biortech.2020.123275
741,Glucose,N/A,"Produced via enzymatic hydrolysis of cellulose from detoxified lignocellulosic biomass, with conversion rates up to 94%.",10.1016_s0168-1605(96)01195-6.pdf,10.1016/S0168-1605(96)01195-6
742,Arabinose,N/A,"A pentose sugar released during the hydrolysis of hemicellulose, detected in the hydrolysate.",10.1007_s12010-007-9063-1.pdf,10.1007/s12010-007-9029-3
743,Galactose,N/A,"A hexose sugar present in the hydrolysate, part of the combined sugar fraction analyzed during fermentation.",10.1007_s12010-007-9063-1.pdf,10.1007/s12010-007-9029-3
744,Mannose,N/A,"A hexose sugar consumed by Saccharomyces cerevisiae D5A during fermentation in the absence of glucose, contributing to ethanol production.",10.1007_s12010-007-9063-1.pdf,10.1007/s12010-007-9029-3
748,5-Hydroxymethylfurfural (HMF),N/A,"Furan aldehyde formed by degradation of hexoses during prehydrolysis, more prevalent in rice hull and peanut shell prehydrolysates.",10.1016_j.jbiotec.2006.03.013.pdf,10.1016/j.jbiotec.2006.03.013
749,Phenolic Compounds,N/A,"Derived from partial degradation of lignin or hemicellulose substituents, most abundant in prehydrolysates of bagasse and rice hulls.",10.1002_bit.26037.pdf,10.1002/bit.26037
755,l-ephedrine,N/A,Alkaloid secondary metabolite produced by engineered yeast strains through transfer of Ephedra genomic DNA via ion implantation.,10.1007_s12010-009-8597-9.pdf,10.1007/s12010-009-8597-9
756,d-pseudoephedrine,N/A,Alkaloid secondary metabolite produced by engineered yeast strains through transfer of Ephedra genomic DNA via ion implantation.,10.1007_s12010-009-8597-9.pdf,10.1007/s12010-009-8597-9
784,proteases,N/A,Industrial enzymes produced from DDGS-derived sugars.,10.1007_s12010-016-1990-2.pdf,10.1007/s12010-016-1990-2
792,β-galactosidase,N/A,"Enzyme produced by Kluyveromyces marxianus MTCC 1389 using whey as a substrate, catalyzing the hydrolysis of lactose into glucose and galactose.",10.1007_s12010-016-2078-8.pdf,10.1007/s12010-016-2078-8
797,γ-Aminobutyric acid (γ-GABA),N/A,"A non-proteinogenic amino acid acting as a major regulator in the central nervous system, used in pharmaceuticals, functional foods, and as a building block for bio-plastics. Produced via enzymatic conversion of L-glutamic acid by glutamate decarboxylase (GAD) expressed in recombinant E. coli.",10.1007_s12010-017-2506-4.pdf,10.1007/s12010-017-2506-4
802,Mead,N/A,"Alcoholic beverage produced from the fermentation of a diluted honey solution, with an alcoholic strength between 8 and 18% v v−1.",10.1007_s12010-020-03267-0.pdf,10.1007/s12010-020-03267-0
812,Soyasapogenol B,N/A,"An oleanane-type pentacyclic triterpene with applications in food and healthcare, exhibiting antiviral, anti-inflammatory, neuroprotective, antiobesity, antidiabetic, and anticancer effects.",10.1007_s12010-021-03599-5.pdf,10.1007/s12010-021-03599-5
814,n-propyl acetate,N/A,A flavor ester synthesized by esterase from Candida parapsilosis expressed in Saccharomyces cerevisiae. Used in the food industry for its characteristic flavor.,10.1007_s12088-020-00856-9.pdf,10.1007/s12088-020-00856-9
815,isobutyl acetate,N/A,"Engineered Saccharomyces cerevisiae produces isobutyl acetate at 260.2 mg/L. This medium branched-chain ester serves as biofuel, flavoring agent, and eco-friendly toluene alternative in coatings, inks, fragrances, and cosmetics.",10.1007_s12088-020-00856-9.pdf,10.1007/s12088-020-00856-9
819,reducing sugars,N/A,"Reducing sugars released during enzymatic hydrolysis of cassava pulp, with concentrations ranging from 488.8 to 707.1 mg/g biomass depending on initial solid loading.",10.1016_j.biortech.2017.07.123.pdf,http://dx.doi.org/10.1016/j.biortech.2017.07.123
820,"ligninolytic enzymes (laccase, manganese peroxidase)",N/A,Produced by Pleurotus ostreatus HP-1 during fungal pretreatment to degrade lignin in lignocellulosic biomass.,10.1016_j.biortech.2018.03.044.pdf,10.1016/j.biortech.2018.03.044
821,xylanase,N/A,"Produced alongside cellulases by Trichoderma reesei, used in the hydrolysis of hemicellulose components in Kans grass.",10.1186_s12896-015-0130-3.pdf,10.1186/s12896-015-0130-3
823,β-glucosidase,N/A,Used in enzymatic hydrolysis to convert cellobiose into glucose for fermentation.,10.1007_s00253-012-3870-1.pdf,10.1007/s00253-012-3870-1
836,vanillin-β-glucoside,N/A,"Produced in Saccharomyces cerevisiae strains CEN.PK and S288c, with higher production in S288c.",10.1128_AEM.02681-08.pdf,10.1128/AEM.02681-08
838,medium-chain-length polyhydroxyalkanoate (mcl-PHA),N/A,"A biodegradable polyester synthesized by engineered Pseudomonas putida KT2440-acs using starch as the initial carbon source, converted to glucose and then acetic acid. It consists of monomers 3-hydroxydecanoate (C10) and 3-hydroxyoctanoate (C8), with potential applications in medical devices and biodegradable plastics.",10.1007_s13205-020-02347-6.pdf,10.1007/s13205-020-02347-6
847,total reducing sugar (TRS),N/A,"Produced during enzymatic hydrolysis of pretreated sugarcane bagasse, primarily consisting of glucose and other reducing sugars.",10.1007_s13205-020-02600-y.pdf,10.1007/s13205-020-02600-y
849,hemicellulose,N/A,"Extracted during pretreatment of sugarcane bagasse, contributing to the sugar content in hydrolysates.",10.1002_btpr.2486.pdf,10.1002/btpr.2486
852,shochu,N/A,"A distilled alcoholic beverage produced from fermented chestnut using Aspergillus oryzae and Saccharomyces cerevisiae, following a traditional Japanese fermentation process.",10.1016_j.biortech.2007.12.053.pdf,10.1016/j.biortech.2007.12.053
863,liquiritin (LN),N/A,"A flavonoid glycoside derivative of liquiritigenin, used in Chinese medicine for its anti-cancer and anti-inflammatory effects.",10.1016_j.apsb.2019.07.005.pdf,10.1016/j.apsb.2019.07.005
864,isoliquiritin (Iso-LN),N/A,"A glycoside derivative of isoliquiritigenin, known for inhibiting tumor angiogenesis and showing antidepressant effects.",10.1016_j.apsb.2019.07.005.pdf,10.1016/j.apsb.2019.07.005
865,liquiritigenin (LG),N/A,"A dihydroflavone compound formed by the isomerization of isoliquiritigenin, with anti-cancer properties.",10.1016_j.apsb.2019.07.005.pdf,10.1016/j.apsb.2019.07.005
866,isoliquiritigenin (Iso-LG),N/A,"A chalcone with significant pharmacological activities including anti-inflammatory, anticancer, and antioxidant effects.",10.1016_j.apsb.2019.07.005.pdf,10.1016/j.apsb.2019.07.005
868,naringenin chalcone,N/A,A chalcone intermediate in the flavonoid biosynthesis pathway.,10.1186_1475-2859-11-155.pdf,http://www.microbialcellfactories.com/content/11/1/155
871,l(+)-lactic acid,N/A,"Optically pure l(+)-lactic acid produced by metabolically engineered Saccharomyces cerevisiae OC-2T T165R, immobilized in photo-crosslinkable resin gels for enhanced fermentation performance.",10.1016_J.BEJ.2009.07.004.pdf,10.1016/j.bej.2009.07.004
873,Poly lactic acid (PLA),N/A,Biodegradable polymer improved in thermostability by incorporating D-lactic acid as a monomer.,10.1002_jctb.6587.pdf,10.1002/jctb.6587
874,D-lactate dehydrogenase (D-LDH),N/A,Enzyme optimized for high catalytic efficiency in engineered Saccharomyces cerevisiae to produce D-lactic acid.,10.1007_s11274-018-2535-3.pdf,10.1007/s11274-018-2535-3
875,2G bioethanol,N/A,"Produced through co-culture fermentation of hexose-fermenting yeasts (Saccharomyces cerevisiae) and xylose-fermenting yeasts (Scheffersomyces stipitis, Spathaspora passalidarum) using a mixture of sugarcane molasses and bagasse hydrolysate as substrate.",10.1016_j.bej.2019.03.020.pdf,10.1016/j.bej.2019.03.020
879,sabinene,N/A,Monoterpene produced by engineered yeast; precursor to oxidized monoterpenoids like trans-sabin-3-ol.,10.1038_s41467-019-11290-x.pdf,https://doi.org/10.1038/s41467-019-11290-x
884,triacylglycerol-derived products,N/A,Lipid-derived products produced in Yarrowia lipolytica by subcellular engineering of lipase-dependent pathways directed towards lipid-related organelles.,10.1002_bit.20432.pdf,10.1002/bit.20432
887,industrial ethanol,N/A,"Produced by fermentation of spent sulfite liquor (SSL) using genetically modified Saccharomyces cerevisiae 259ST, which is engineered to ferment xylose in addition to hexose sugars.",Synthetic-Biochemistry--The-Bio-inspired-Cell-Free.pdf,10.1016/j.tibtech.2019.12.024
894,5-hydroxymethylfurfuryl alcohol,N/A,"Conversion of HMF (5-hydroxymethyl-2-furaldehyde) to its corresponding alcohol during fermentation, indicating detoxification activity.",10.1002_bit.21849.pdf,10.1002/bit.21849
899,Pyruvic Acid,N/A,Byproduct of malic acid production by engineered S. cerevisiae strain RWB525. Produced at concentrations up to 12 g/L (partially consumed after glucose depletion). Key precursor for malate synthesis that accumulates due to pathway kinetic limitations.,10.1128_AEM.02591-07.pdf,10.1128/AEM.02591-07
913,"(R)-1-phenyl-1,2-ethanediol ((R)-PED)",N/A,"Enantiopure (R)-PED produced via asymmetric reduction of 2-hydroxy-1-phenylethanone (HPE) by Saccharomyces cerevisiae JUC15, achieving >99.9% enantiomeric excess (e.e.) and high yield (71% at 20 g/L substrate concentration). The engineered yeast exhibits remarkable operational stability, reusability for 40 cycles, and functions over a wide pH range (4-9).",10.1016_j.biortech.2010.06.044.pdf,10.1016/j.biortech.2010.06.044
917,fuel grade ethanol,N/A,"Produced from sorghum stover using Saccharomyces cerevisiae and Pachysolen tannophilus under optimized conditions, achieving yields of 68 g/L and 56 g/L respectively.",10.5941_MYCO.2014.42.3.249.pdf,10.5941/MYCO.2014.42.3.249
931,5-Hydroxymethyl Furfural (HMF),N/A,"A degradation product of hexose sugars, removed during detoxification to improve fermentation efficiency.",10.1016_j.biortech.2011.05.043.pdf,10.1016/j.biortech.2011.05.043
959,carotene-enriched biomass,N/A,"Produced by red yeasts (Rhodotorula glutinis, Cystofilobasidium capitatum, Sporobolomyces roseus) using hydrothermally pretreated wheat straw hydrolysates. S. roseus showed the highest production of β-carotene (1.23-1.56 mg g⁻¹) and total carotenoids.",10.1016_j.biortech.2013.01.151.pdf,10.1016/j.biortech.2013.01.151
968,Fumaric acid,N/A,Organic acid overproduced via metabolic engineering of S. cerevisiae.,10.1128_AEM.02591-07.pdf,10.1128/AEM.02591-07
981,Methane,N/A,Produced by anaerobic digestion of whole stillage (residue from ethanol fermentation) in a 3-L anaerobic digester. Methane yield: 96 g/kg corn stover; productivity: 320 mL CH₄/g volatile solids.,10.1016_j.biortech.2014.05.044.pdf,10.1016/j.biortech.2014.05.044
1005,poly-3-hydroxybutyrate,N/A,"Biopolymer produced by fermenting non-detoxified rice straw hydrolyzate with Comamonas sp., achieving 35.86% yield without nutrient supplementation.",10.1007_s11274-017-2246-1.pdf,10.1007/s11274-017-2246-1
1012,Feed components,N/A,"Solid residues after filtration containing up to 32% crude protein, reduced antinutritionals (e.g., condensed tannins), and enriched fiber content, used as animal feed.",10.1016_j.biortech.2016.05.055.pdf,10.1016/j.biortech.2016.05.055
1013,Fungal biomass,N/A,"Neurospora intermedia biomass cultivated on thin stillage, containing over 62% crude protein and suitable as a feed additive.",10.1016_j.biortech.2016.05.055.pdf,10.1016/j.biortech.2016.05.055
1015,Single Cell Protein,N/A,"Produced from xylose in residual lignocellulosic hydrolysate via aerobic fermentation. Contains 54.6% crude protein and all essential amino acids except cysteine, suitable for animal feed.",10.1016_j.biortech.2016.06.118.pdf,10.1016/j.biortech.2016.06.118
1030,silica,N/A,Recovered from alkaline pre-extraction liquor as high-purity (99.8%) amorphous particles; 86.4% of initial silica in wheat straw was recovered.,10.1016_j.biortech.2018.03.044.pdf,10.1016/j.biortech.2018.03.044
1038,Fatty Acid Methyl Esters,N/A,Produced by transesterification of lipids extracted from microalgae biomass grown in dairy wastewater. Composed of saturated and unsaturated fatty acids suitable for biodiesel applications.,10.1016_j.biortech.2019.03.106.pdf,10.1016/j.biortech.2019.03.106
1049,biobutanol,N/A,Renewable fuel produced via co-culture fermentation of Saccharomyces cerevisiae and Pichia sp. using pretreated rice straw hydrolysate. Achieved concentrations of 4.32 g/L at lab scale and 13.3 g/L in scale-up experiments.,10.1016_j.biortech.2020.124070.pdf,10.1016/j.biortech.2020.124070
1054,wood plastic composites,N/A,"Manufactured by extruding residual bagasse (after pretreatment) with poly(lactic acid) (PLA) in a 2:1 PLA:fiber ratio. Exhibits tensile strength of 49.5 MPa and flexible strength of 65 MPa, designed for biodegradable applications.",10.1016_j.biotechadv.2012.01.014.pdf,10.1016/j.biotechadv.2012.01.014
1063,Agricultural biostimulant,CRISPR with gRNA used (sequences in Table S3),"Fermentation broth containing 2,3-butanediol produced by engineered Saccharomyces cerevisiae, used without purification to induce drought tolerance in plants such as Arabidopsis thaliana.",10.1016_j.cej.2022.138886.pdf,10.1016/j.cej.2022.138886
1066,oleic acid,N/A,A non-terpenoid mono-unsaturated fatty acid co-overproduced (154.94 mg/L) in engineered Saccharomyces cerevisiae strain FOH-2 due to indirect upregulation by ergosterol overproduction.,10.1016_j.ces.2016.06.004.pdf,10.1016/j.ces.2016.06.004
1070,longifolene,N/A,"A tricyclic sesquiterpene used in fragrances, perfumes, resins, flotation agents, and as a biofuel substitute for aviation kerosene. Produced via engineered Saccharomyces cerevisiae through metabolic engineering strategies including MVA pathway optimization, competitive pathway elimination, molecular chaperone screening, and acetyl-CoA supply enhancement.",10.1021_acs.jafc.2c04405.pdf,10.1021/acs.jafc.2c04405
1071,coenzyme Q6,N/A,"Redox-active lipid essential for mitochondrial electron transport and antioxidant functions, produced by engineered yeast strains including conditional mutants like Gal-YAH1 and Gal-ARH1.",10.1016_j.chembiol.2010.03.014.pdf,10.1016/j.chembiol.2010.03.014
1082,"2,5-Bis(hydroxymethyl)furan (BHMF)",N/A,Synthesized from 5-hydroxymethylfurfural (HMF) via biocatalytic reduction using recombinant Saccharomyces cerevisiae expressing aryl alcohol dehydrogenase MgAAD1669. Achieves 94% yield and 99% selectivity at 250 mM substrate concentration. Fed-batch strategy enables space-time yield of 3.4 g/L·h.,10.1016_j.enzmictec.2019.109491.pdf,10.1016/j.enzmictec.2019.109491
1084,4-mercapto-4-methylpentan-2-one (4MMP),N/A,"Key aroma compound in Sauvignon Blanc wines, contributes black currant, boxwood, and cat urine notes. Produced by engineered Saccharomyces cerevisiae strains via overexpression of the IRC7 gene or bacterial TnaA gene.",10.1016_j.fm.2011.01.002.pdf,10.1016/j.fm.2011.01.002
1085,3-mercaptohexanol (3MH),N/A,"Key aroma compound in Sauvignon Blanc wines, provides grapefruit (R-enantiomer) and passionfruit (S-enantiomer) notes. Enhanced through overexpression of IRC7 or TnaA genes in Saccharomyces cerevisiae.",10.1016_j.fm.2011.01.002.pdf,10.1016/j.fm.2011.01.002
1086,3-mercaptohexyl acetate (3MHA),N/A,"Acetylated derivative of 3MH, contributes passionfruit (R-enantiomer) and sweaty/cat urine notes (S-enantiomer) to wine. Production increased via IRC7 or TnaA overexpression in Saccharomyces cerevisiae.",10.1016_j.fm.2011.01.002.pdf,10.1016/j.fm.2011.01.002
1092,hydroxytyrosol,N/A,"A natural phenolic compound with strong antioxidant activity, produced via an artificial pathway in engineered E. coli. Achieved titers of 1243 ± 165 mg/L from tyrosine feeding and 647±35 mg/L from simple carbon sources (e.g., glucose/glycerol) using enzyme optimization (Aro10, ADH6, HpaBC), feaB knockout, NH4Cl removal, ascorbic acid addition, and biphasic extraction with 1-dodecanol.",10.1021_acssynbio.7b00385.pdf,10.1021/acssynbio.7b00385
1104,"1,12-Dodecanedioic acid (DDA)",N/A,"Primary compound and intermediate precursor for various chemical products, produced via biotransformation of lauric acid using engineered Saccharomyces cerevisiae expressing CYP52A17SS. Highest yield achieved was 20.8 μM at 72 hours in culture.",10.1016_j.ibiod.2019.03.002.pdf,10.1016/j.ibiod.2019.03.002
1105,12-Hydroxydodecanoic acid (HDDA),N/A,Intermediate hydroxylated fatty acid produced during the ω-oxidation of lauric acid by engineered Saccharomyces cerevisiae expressing CYP52A17SS. Highest yield was 45.8 μM at 24 hours in culture.,10.1016_j.ibiod.2019.03.002.pdf,10.1016/j.ibiod.2019.03.002
1115,Phenyl ethyl acetate,N/A,"Ester with floral, honey, or sweet flavor. Lower in mixed fermentations.",10.1007_s00253-006-0821-8.pdf,10.1007/s00253-006-0821-8
1123,Diethyl succinate,N/A,Carboxylic acid. Significantly lower in mixed fermentations.,10.1007_s00253-006-0821-8.pdf,10.1007/s00253-006-0821-8
1124,mannitol,N/A,Polyol produced by filamentous fungi during starch hydrolysis in Baijiu fermentation; inhibits ethanol production in Saccharomyces cerevisiae and Pichia kudriavzevii.,10.1016_j.ijfoodmicro.2020.108933.pdf,10.1016/j.ijfoodmicro.2020.108933
1125,erythritol,N/A,Polyol generated by filamentous fungi during starch saccharification; reduces ethanol yield in functional yeasts during Baijiu production.,10.1016_j.ijfoodmicro.2020.108933.pdf,10.1016/j.ijfoodmicro.2020.108933
1144,L-homophenylalanine,N/A,"Unnatural chiral amino acid used as a precursor for angiotensin-converting enzyme inhibitors to treat hypertension and cardiovascular diseases. Produced via fermentation using recombinant Saccharomyces cerevisiae expressing E. coli aspartate aminotransferase, achieving 43.7 mM yield and 78.9% productivity improvement over wild-type.",10.1016_j.jbiosc.2016.06.013.pdf,10.1016/j.jbiosc.2016.06.013
1175,p-hydroxybenzoic acid (PHBA),N/A,Produced in engineered Saccharomyces cerevisiae strains via metabolic engineering. Accumulation of 650 μM achieved using S. cerevisiae S288C Δaro7 with plasmid pCV3-UBIC expressing E. coli ubiC gene (chorismate lyase). Theoretical mass yield: 0.58 g/g glucose.,10.1016_j.jbiotec.2012.04.014.pdf,10.1016/j.jbiotec.2012.04.014
1176,p-aminobenzoic acid (PABA),N/A,Produced in engineered Saccharomyces cerevisiae strains via metabolic engineering. Accumulation of 250 μM achieved using S. cerevisiae S288C Δaro7 Δtrp3 with plasmid pCV3-ABZ1 expressing abz1 gene from wine yeast AWRI1631 (para-aminobenzoate synthase). Theoretical mass yield: 0.53 g/g glucose.,10.1016_j.jbiotec.2012.04.014.pdf,10.1016/j.jbiotec.2012.04.014
1183,(S)-3-hydroxybutyrate,N/A,"Produced by metabolically engineered Saccharomyces cerevisiae overexpressing ERG10 (acetyl-CoA C-acetyltransferase), hbd (acetoacetyl-CoA reductase), and tesB (3-hydroxybutyryl-CoA thioesterase) genes. The engineered yeast utilizes ethanol as a carbon source to accumulate cytosolic acetyl-CoA for S-3HB biosynthesis. A final titer of 12.0 g/L was achieved through fed-batch fermentation with ethanol pulse-feeding. This bio-based platform chemical serves as a precursor for biodegradable polymers (polyhydroxyalkanoates) and stereo-specific fine chemicals including antibiotics, pheromones, and drugs.",10.1016_j.jbiotec.2015.05.017.pdf,10.1016/j.jbiotec.2015.05.017
1189,3-methyl-1-butyl acetate,N/A,"Engineered Saccharomyces cerevisiae produces 3-methyl-1-butyl acetate at 296.1 mg/L. This medium branched-chain ester functions as biofuel, banana-flavored food additive, and green solvent in coatings and pharmaceuticals.",10.3389_fmicb.2020.579844.pdf,10.3389/fmicb.2020.579844
1190,2-methyl-1-butyl acetate,N/A,Engineered Saccharomyces cerevisiae produces 2-methyl-1-butyl acetate at 289.6 mg/L. This medium branched-chain ester is used as biofuel and industrial chemical.,10.1016_j.jbiotec.2016.10.013.pdf,10.1016/j.jbiotec.2016.10.013
1195,L-phenylacetylcarbinol,N/A,"L-PAC is an enantiopure α-hydroxy ketone produced by engineered Saccharomyces cerevisiae through biotransformation of benzaldehyde. The ∆zwf1 deletion strain achieved the highest production of 2.48 g/L from 2 g/L benzaldehyde, reaching 88% of theoretical yield. L-PAC serves as a key precursor for pharmaceutical synthesis of decongestant, antiasthmatic and bronchodilator medicines including ephedrine and pseudoephedrine.",10.1016_j.jbiotec.2019.11.008.pdf,10.1016/j.jbiotec.2019.11.008
1196,S-adenosyl-L-methionine,N/A,"S-adenosyl-L-methionine (SAM) produced by engineered Saccharomyces cerevisiae through spaceflight mutagenesis, overexpression of heterologous methionine adenosyltransferase (MAT2), and optimized cultivation conditions. Final production reached 7.76 g/L in shake flasks and 9.64 g/L in 50-L fermenter.",10.1111_j.1365-2672.2012.05251.x.pdf,10.1111/j.1365-2672.2012.05251.x
1200,(2S)-naringenin,N/A,"A natural flavonoid produced in engineered Saccharomyces cerevisiae via metabolic engineering of the fatty acid β-oxidation pathway to enhance acetyl-CoA supply. Achieved a titer of 1129.44 mg/L in fed-batch fermentation, the highest reported in any microorganism.",10.1021_acssynbio.1c00002.pdf,10.1021/acssynbio.1c00002
1210,Hydroxymandelic acid,N/A,"Byproduct (4-hydroxymandelic acid) produced by hydroxymandelate synthase from hydroxyphenylpyruvate, the preferred substrate. Competes with mandelic acid production in engineered yeast strains.",10.1016_j.mec.2018.e00079.pdf,10.1016/j.mec.2018.e00079
1211,Phenylacetic acid,N/A,Ehrlich pathway product produced from phenylpyruvate in engineered Saccharomyces cerevisiae strains. Co-produced with phenylethanol as a byproduct of aromatic amino acid metabolism.,10.1186_s13068-016-0517-y.pdf,10.1186/s13068-016-0517-y
1213,m-cresol,URA3-targeting gRNA for CRISPR/Cas9-mediated genomic integration,"De novo production of m-cresol (3-methylphenol) from glucose in engineered Saccharomyces cerevisiae via heterologous expression of 6-methylsalicylic acid synthase and decarboxylase. Achieved titers up to 589 mg/L in complex medium. Valuable platform chemical for flavors, disinfectants, antiseptics, antioxidants, and menthol synthesis.",10.1016_j.mec.2019.e00093.pdf,10.1016/j.mec.2019.e00093
1214,6-methylsalicylic acid,URA3-targeting gRNA for CRISPR/Cas9-mediated genomic integration,"Polyketide intermediate produced by heterologous 6-methylsalicylic acid synthase in engineered Saccharomyces cerevisiae. Genomic integration enabled titers exceeding 2 g/L, serving as direct precursor for m-cresol conversion.",10.1016_j.mec.2019.e00093.pdf,10.1016/j.mec.2019.e00093
1215,8-hydroxyoctanoic acid,N/A,Medium-chain ω-hydroxy fatty acid produced de novo from glucose or ethanol in engineered Saccharomyces cerevisiae by combining mutated fatty acid synthase (FAS1R1834K/FAS2) with cytochrome P450 (CYP539A7-cprA). Achieved titers up to 3 mg/L.,10.1016_j.mec.2019.e00111.pdf,10.1016/j.mec.2019.e00111
1219,Isobutyrate,CRISPR-Cas9 with guide RNA targeting ILV2 locus for pathway integration,"By-product formed by oxidation of isobutyraldehyde under aerobic conditions. Produced at yields of 0.0657 ± 0.005 mol/mol glucose in micro-aerobic cultures, exceeding isobutanol yields.",10.1016_j.meteno.2016.01.002.pdf,10.1016/j.meteno.2016.01.002
1221,Diacetyl,N/A,An intermediate metabolite produced from α-acetolactate and reduced to acetoin by BDH enzymes. Content was measured in engineered strains (30.85-34.06 mg/L range) but overexpression of ILV2 gene did not significantly increase its production.,10.1016_j.procbio.2015.11.023.pdf,10.1016/j.procbio.2015.11.023
1231,Triacylglycerols,N/A,"Engineered S. cerevisiae strains accumulated triacylglycerols (TAGs) to more than 17% of dry cell weight, a four-fold improvement over control strains, representing the highest lipid content achieved in this study.",10.1016_j.ymben.2013.07.003.pdf,10.1016/j.ymben.2013.07.003
1233,S-licarbazepine,N/A,"S-licarbazepine is produced by asymmetric reduction of oxcarbazepine using Saccharomyces cerevisiae CGMCC No. 2266. It serves as a chiral intermediate for eslicarbazepine acetate, a CNS-active anticonvulsant for epilepsy and bipolar disorder treatment. The process achieves 100% enantiomeric excess with both batch and continuous reduction, yielding 3.7678 mmol L−1 d−1 in continuous operation.",10.1016_j.molcatb.2011.07.004.pdf,10.1016/j.molcatb.2011.07.004
1242,S-4-Chloro-3-hydroxybutyric acid ethyl ester (S-CHBE),N/A,"An optically active chiral synthon used in the pharmaceutical industry, produced via asymmetric bioreduction of ethyl 4-chloro acetoacetate using Saccharomyces cerevisiae (bakers' yeast). Optimization of culture medium and reaction conditions improved enantiomeric excess from 82.1% to 92.3% and yield from 77.3% to 82.3%.",10.1016_j.procbio.2006.03.035.pdf,10.1016/j.procbio.2006.03.035
1260,20S–O-β-(D-glucosyl)-dammarenediol-II,N/A,"A glycosylated triterpenoid intermediate in CK biosynthesis, produced at 0.82 g/L by engineered Saccharomyces cerevisiae.",10.1002_bit.25934.pdf,10.1002/bit.25934
1262,Glycyrrhizin,N/A,A pentacyclic triterpenoid saponin produced in engineered Saccharomyces cerevisiae at 5.98 ± 0.47 mg/L. Key licorice compound with pharmacological activities and sweetener applications.,10.1016_j.synbio.2021.07.001.pdf,10.1016/j.synbio.2021.07.001
1263,Glycyrrhetic Acid 3-O-mono-β-D-glucuronide,N/A,A triterpenoid glycoside intermediate produced in engineered Saccharomyces cerevisiae at 2.31 ± 0.21 mg/L.,10.1016_j.synbio.2021.07.001.pdf,10.1016/j.synbio.2021.07.001
1269,Sesquiterpenes,N/A,Total sesquiterpenes produced as a mixture by engineered Saccharomyces cerevisiae expressing the multi-product enzyme cubebol synthase. The total titer includes cubebol and other sesquiterpene by-products. Metabolic engineering of nitrogen assimilation (GDH1 deletion/GDH2 overexpression) and mevalonate pathway (tHMG1 overexpression) enhanced production to a maximum of 30.1 mg/L in batch fermentation.,10.1016_j.ymben.2009.07.001.pdf,10.1016/j.ymben.2009.07.001
1272,genistein,N/A,"An isoflavone produced by engineered Saccharomyces cerevisiae strain GEN23 expressing 7 plant genes (PAL, C4H, CPR, 4CL, CHS, CHI, IFS). Production varied from 0.1 mg/L (from phenylalanine) to 7.7 mg/L (from naringenin precursor) in defined media.",10.1016_j.ymben.2009.07.004.pdf,10.1016/j.ymben.2009.07.004
